	nCells_estimated	Multiplet_rate_10X	Threshold_score	singlet	multiplet
filtered_feature_bc_matrix_1dpi_sample1	8000	0.0612408207343412	0.322607275425635	8027	128
filtered_feature_bc_matrix_1dpi_sample2	6000	0.0460624190064795	0.227549560411221	5563	127
filtered_feature_bc_matrix_1dpi_sample3	10000	0.076419222462203	0.305803442180535	9545	232
filtered_feature_bc_matrix_3dpi_sample1	12000	0.0915976241900648	0.35798364855119	12032	387
filtered_feature_bc_matrix_3dpi_sample2	9000	0.0688300215982721	0.229943813322416	8781	437
filtered_feature_bc_matrix_7dpi_sample1	10000	0.076419222462203	0.283332119453014	9543	401
filtered_feature_bc_matrix_7dpi_sample2	9000	0.0688300215982721	0.25517328396412	8264	302
filtered_feature_bc_matrix_uninj_sample1	3000	0.0232948164146868	0.152789547133046	3145	48
filtered_feature_bc_matrix_uninj_sample2	1000	0.00811641468682505	0.0761614290506764	1266	6
filtered_feature_bc_matrix_uninj_sample3	12000	0.0915976241900648	0.28330277353553	11273	600
