	percent_hbb_cutoffs	fail	pass
filtered_feature_bc_matrix_1dpi_sample1	2e-04	437	7718
filtered_feature_bc_matrix_1dpi_sample2	2e-04	230	5460
filtered_feature_bc_matrix_1dpi_sample3	2e-04	158	9619
filtered_feature_bc_matrix_3dpi_sample1	2e-04	198	12221
filtered_feature_bc_matrix_3dpi_sample2	2e-04	96	9122
filtered_feature_bc_matrix_7dpi_sample1	2e-04	493	9451
filtered_feature_bc_matrix_7dpi_sample2	2e-04	117	8449
filtered_feature_bc_matrix_uninj_sample1	2e-04	145	3048
filtered_feature_bc_matrix_uninj_sample2	2e-04	150	1122
filtered_feature_bc_matrix_uninj_sample3	2e-04	23	11850
