	percent_mt_cutoffs	fail	pass
filtered_feature_bc_matrix_1dpi_sample1	0.2	5	8150
filtered_feature_bc_matrix_1dpi_sample2	0.2	32	5658
filtered_feature_bc_matrix_1dpi_sample3	0.2	601	9176
filtered_feature_bc_matrix_3dpi_sample1	0.2	16	12403
filtered_feature_bc_matrix_3dpi_sample2	0.2	49	9169
filtered_feature_bc_matrix_7dpi_sample1	0.2	4	9940
filtered_feature_bc_matrix_7dpi_sample2	0.2	75	8491
filtered_feature_bc_matrix_uninj_sample1	0.2	2	3191
filtered_feature_bc_matrix_uninj_sample2	0.2	4	1268
filtered_feature_bc_matrix_uninj_sample3	0.2	1205	10668
